Product_Name,Total,Selling_Price,Offer,Ratings,Description
"POCO C65 (Pastel Blue, 128 GB)","₹11,999","₹9,499",20% off,4.3,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB 17.12 cm (6.74 inch) HD+ Display 50MP + AI Lens + 2MP | 8MP Front Camera 5000 mAh Battery Helio G85 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
"REDMI 13c (Starshine Green, 128 GB)","₹10,200","₹8,940",12% off,4.4,4 GB RAM | 128 GB ROM 17.12 cm (6.74 inch) Display 50MP Rear Camera 5000 mAh Battery 1 Year
"REDMI 13c (Starshine Green, 128 GB)","₹13,999","₹9,743",30% off,3.9,6 GB RAM | 128 GB ROM 17.12 cm (6.74 inch) Display 50MP Rear Camera 5000 mAh Battery 1 Year
"MOTOROLA G32 (Satin Silver, 128 GB)","₹18,999","₹9,999",47% off,4.1,8 GB RAM | 128 GB ROM 16.51 cm (6.5 inch) Full HD+ Display 50MP + 8MP + 2MP | 16MP Front Camera 5000 mAh Lithium Polymer Battery Qualcomm Snapdragon 680 Processor 1 Year on Handset and 6 Months on Accessories
"SAMSUNG Galaxy F04 (Opal Green, 64 GB)","₹11,499","₹9,499",17% off,4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 16.51 cm (6.5 inch) HD Display 13MP + 2MP | 5MP Front Camera 5000 mAh Lithium-Ion Battery Mediatek Helio P35 Processor 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
"OPPO A17 (Lake Blue, 64 GB)","₹14,999","₹9,999",33% off,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB 16.66 cm (6.56 inch) HD+ Display 50MP + 0.3MP + 0.3MP | 5MP Front Camera 5000 mAh Lithium-ion Polymer Battery Mediatek Helio G35 Processor 1 Year on Handset and 6 Months on Accessories
"REDMI 13c (Stardust Black, 128 GB)","₹11,999","₹8,952",25% off,4.4,4 GB RAM | 128 GB ROM 17.12 cm (6.74 inch) Display 50MP Rear Camera 5000 mAh Battery 1 Year
"REDMI A2+ (Sea Green, 128 GB)","₹12,499","₹7,698",38% off,4.1,"4 GB RAM | 128 GB ROM | Expandable Upto 1 TB 16.56 cm (6.52 inch) HD+ Display 8MP + 8MP | 5MP + 5MP Dual Front Camera 5000 mAh Battery OCTA CORE Processor 1 Year and 6 months for Battery,Accessories"
"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)","₹11,499","₹9,499",17% off,4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 16.51 cm (6.5 inch) HD Display 13MP + 2MP | 5MP Front Camera 5000 mAh Lithium-Ion Battery Mediatek Helio P35 Processor 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
"realme Narzo N53 (Feather Gold, 64 GB)","₹10,999","₹8,814",19% off,4.2,4 GB RAM | 64 GB ROM 17.12 cm (6.74 inch) Display 50MP Rear Camera 5000 mAh Battery Domestic 1 Year on Handset and 6 Months on Accessories
"realme Narzo N53 (Feather Black, 64 GB)","₹10,999","₹8,889",19% off,4.2,4 GB RAM | 64 GB ROM 17.12 cm (6.74 inch) Display 50MP Rear Camera 5000 mAh Battery Domestic 1 Year on Handset and 6 Months on Accessories
"POCO C65 (Matte Black, 128 GB)","₹11,999","₹9,499",20% off,4.3,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB 17.12 cm (6.74 inch) HD+ Display 50MP + AI Lens + 2MP | 8MP Front Camera 5000 mAh Battery Helio G85 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
"SAMSUNG GALAXY M13 (Midnight Blue, 64 GB)","₹14,999","₹8,999",40% off,4.2,4 GB RAM | 64 GB ROM 16.76 cm (6.6 inch) Display 50MP Rear Camera 6000 mAh Battery 12 MONTHS
"SAMSUNG GALAXY M13 (Aqua Green, 64 GB)","₹14,999","₹9,150",38% off,4.2,4 GB RAM | 64 GB ROM 16.76 cm (6.6 inch) Display 50MP Rear Camera 6000 mAh Battery 1 Year Warranty
"SAMSUNG Galaxy M04 (Dark Blue, 64 GB)","₹11,999","₹7,980",33% off,4.1,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 16.51 cm (6.5 inch) HD+ Display 13MP + 2MP | 5MP Front Camera 5000 mAh Battery MediaTek Helio P35 Processor 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
"vivo Y02t (Cosmic Grey, 64 GB)","₹15,999","₹8,499",46% off,4.2,4 GB RAM | 64 GB ROM 16.54 cm (6.51 inch) HD+ Display 8MP Rear Camera | 5MP Front Camera 5000 mAh Battery Helio P35 Processor 1 Year Handset and 6 Months Accessories
"itel P40 Plus (Icy Cyan, 128 GB)","₹9,999","₹8,499",15% off,4.3,4 GB RAM | 128 GB ROM 17.27 cm (6.8 inch) Display 13MP Rear Camera 7000 mAh Battery Domestic Warranty 1 Year For Handset And 6 Months For Accessories.
"OPPO A17k (Blue, 64 GB)","₹12,999","₹8,499",34% off,4.5,3 GB RAM | 64 GB ROM | Expandable Upto 2 TB 16.66 cm (6.56 inch) HD+ Display 8MP Rear Camera | 5MP Front Camera 5000 mAh Battery Mediatek Helio P35 Processor 1 Year on Handset and 6 Months on Accessories
"Infinix HOT 20 5G (Blaster Green, 64 GB)","₹17,999","₹9,999",44% off,4.1,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 16.76 cm (6.6 inch) Full HD+ Display 50MP + AI Lens | 8MP Front Camera 5000 mAh Li-ion Polymer Battery Dimensity 810 Processor 1 Year on Handset and 6 Months on Accessories
"itel P55 5G |50MP Dual Rear Camera|5000mAh Battery|Expandable Upto 1 TB (Mint Green, 64 GB)","₹12,999","₹9,949",23% off,4.2,4 GB RAM | 64 GB ROM 16.76 cm (6.6 inch) HD+ Display 50MP Rear Camera | 8MP Front Camera 5000 mAh Battery MediaTek Dimensity 6080 Processor 2 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"vivo Y16 (Steller Black, 64 GB)","₹15,990","₹9,599",39% off,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 16.54 cm (6.51 inch) HD+ Display 13MP + 2MP | 5MP Front Camera 5000 mAh Lithium Battery Mediatek Helio P35 Processor 1 Year of Device & 6 Months for In-Box Accessories
"itel P55 5G |50MP Dual Rear Camera|5000mAh Battery|Expandable Upto 1 TB (Galaxy Blue, 64 GB)","₹12,999","₹9,999",23% off,4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 16.76 cm (6.6 inch) HD+ Display 50MP Rear Camera 5000 mAh Battery MediaTek Dimensity 6080 Processor Processor 2 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"realme Narzo N55 (Prime Black, 64 GB)","₹12,999","₹9,980",23% off,4.2,4 GB RAM | 64 GB ROM 17.07 cm (6.72 inch) Display 64MP Rear Camera 5000 mAh Battery 1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories
"OPPO A17k (Navy Blue, 64 GB)","₹12,999","₹8,499",34% off,4.5,3 GB RAM | 64 GB ROM | Expandable Upto 2 TB 16.66 cm (6.56 inch) HD+ Display 8MP Rear Camera | 5MP Front Camera 5000 mAh Battery Mediatek Helio P35 Processor 1 Year on Handset and 6 Months on Accessories
"vivo Y02t (Sunset Gold, 64 GB)","₹15,999","₹8,399",47% off,4.2,4 GB RAM | 64 GB ROM 16.54 cm (6.51 inch) HD+ Display 8MP Rear Camera | 5MP Front Camera 5000 mAh Battery Helio P35 Processor 1 Year Handset and 6 Months Accessories
"SAMSUNG Galaxy A03 Core (Onyx, 32 GB)","₹10,499","₹7,499",28% off,4.1,"2 GB RAM | 32 GB ROM 16.51 cm (6.5 inch) Display 8MP Rear Camera 5000 mAh Battery 12 Months brand Warranty , Domestic Only"
"REDMI 13c (Stardust Black, 128 GB)","₹13,999","₹9,775",30% off,3.9,6 GB RAM | 128 GB ROM 17.12 cm (6.74 inch) Display 50MP Rear Camera 5000 mAh Battery 1 Year
"OPPO A18 (Glowing Blue, 64 GB)","₹14,999","₹9,999",33% off,4.3,4 GB RAM | 64 GB ROM 16.66 cm (6.56 inch) HD+ Display 8MP + 2MP | 5MP Front Camera 5000 mAh Battery Helio G85 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"REDMI 13c (Starshine Green, 128 GB)","₹13,999","₹9,742",30% off,3.9,6 GB RAM | 128 GB ROM 17.12 cm (6.74 inch) Display 50MP Rear Camera 5000 mAh Battery 1 Year
"OPPO A17 (Midnight Black, 64 GB)","₹14,999","₹9,999",33% off,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB 16.66 cm (6.56 inch) HD+ Display 50MP + 0.3MP + 0.3MP | 5MP Front Camera 5000 mAh Lithium-ion Polymer Battery Mediatek Helio G35 Processor 1 Year on Handset and 6 Months on Accessories
"LAVA Blaze 2pro (Swag Blue, 128 GB)","₹11,999","₹8,990",25% off,4.1,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB 16.51 cm (6.5 inch) HD+ Display 50MP Rear Camera 5000 mAh Battery 1 Year Handset Warranty and 6 Months Warranty on Accessories
"REDMI A2+ (Aqua Blue, 128 GB)","₹12,499","₹7,549",39% off,4.1,"4 GB RAM | 128 GB ROM | Expandable Upto 1 TB 16.56 cm (6.52 inch) HD+ Display 8MP + 8MP | 5MP + 5MP Dual Front Camera 5000 mAh Battery OCTA CORE Processor 1 Year and 6 months for Battery,Accessories"
"itel S23 (Starry Black, 128 GB)","₹9,500","₹6,940",26% off,4.1,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB 16.76 cm (6.6 inch) HD+ Display 50MP Rear Camera | 8MP Front Camera 5000 mAh Battery Unisoc Tiger T606 Processor 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
"realme Narzo 50i Prime (Mint Green, 64 GB)","₹9,999","₹7,785",22% off,4.1,4 GB RAM | 64 GB ROM 16.51 cm (6.5 inch) Display 8MP Rear Camera | 5MP Front Camera 5000 mAh Battery Unisoc T612 processor Processor 1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories
"vivo Y16 (Drizzling Gold, 64 GB)","₹15,999","₹9,400",41% off,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 16.54 cm (6.51 inch) HD+ Display 13MP + 2MP | 5MP Front Camera 5000 mAh Lithium Battery Mediatek Helio P35 Processor 1 Year of Device & 6 Months for In-Box Accessories
"SAMSUNG GALAXY M13 (Midnight Blue, 64 GB)","₹14,999","₹9,499",36% off,4.2,4 GB RAM | 64 GB ROM 16.76 cm (6.6 inch) Display 50MP Rear Camera 6000 mAh Battery 12 Months Warranty
"Tecno Spark Go 2023 (Endless Black, 64 GB)","₹9,999","₹6,990",30% off,4.2,"4 GB RAM | 64 GB ROM 16.66 cm (6.56 inch) Display 13MP Rear Camera 5000 mAh Battery 2?GHz, Quad Core Processor Processor Domestic Warranty of 1 Year Available for handset and 6 month for Accessories."
"Tecno Spark 10C (Magic Skin Orange, 128 GB)","₹12,499","₹8,677",30% off,4.1,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB 16.76 cm (6.6 inch) HD+ Display 16MP Rear Camera | 8MP Front Camera 5000 mAh Battery Unisoc Tiger T606 Processor 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
"SAMSUNG Galaxy A03 Core (Bronze, 32 GB)","₹10,499","₹6,645",36% off,4.1,2 GB RAM | 32 GB ROM | Expandable Upto 1 TB 16.51 cm (6.5 inch) HD+ Display 8MP Rear Camera | 5MP Front Camera 5000 mAh Battery 1 Year of Device & 6 Months for In-Box Accessories
"Tecno Spark 10C (Magic Skin Orange, 128 GB)","₹12,499","₹8,677",30% off,4.1,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB 16.76 cm (6.6 inch) HD+ Display 16MP Rear Camera | 8MP Front Camera 5000 mAh Battery Unisoc Tiger T606 Processor 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
"REDMI A2+ (Aqua Blue, 128 GB)","₹12,499","₹7,549",39% off,4.1,"4 GB RAM | 128 GB ROM | Expandable Upto 1 TB 16.56 cm (6.52 inch) HD+ Display 8MP + 8MP | 5MP + 5MP Dual Front Camera 5000 mAh Battery OCTA CORE Processor 1 Year and 6 months for Battery,Accessories"
"REDMI 10A SPORT (SEA BLUE, 128 GB)","₹13,999","₹9,899",29% off,4.1,6 GB RAM | 128 GB ROM 16.59 cm (6.53 inch) Display 13MP Rear Camera 5000 mAh Battery 12 Months Warranty
"I Kall S1-Pro (Purple, 128 GB)","₹11,999","₹9,499",20% off,4,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB 17.27 cm (6.8 inch) HD+ Display 13MP + 5MP + 2MP | 8MP Front Camera 6000 mAh Battery Octa Core Processor 1 Year Domestic Warranty
"LAVA Blaze 2pro (Swag Blue, 128 GB)","₹11,999","₹8,990",25% off,4.1,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB 16.51 cm (6.5 inch) HD+ Display 50MP Rear Camera 5000 mAh Battery 1 Year Handset Warranty and 6 Months Warranty on Accessories
"REDMI 9i Sport (Coral Green, 64 GB)","₹9,999","₹8,699",13% off,4.3,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB 16.59 cm (6.53 inch) HD+ Display 13MP Rear Camera | 5MP Front Camera 5000 mAh Li-Polymer Battery MediaTek Helio G25 Processor Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"I Kall S2 Star (Dark Purple, 128 GB)","₹11,999","₹9,499",20% off,4,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB 17.27 cm (6.8 inch) HD+ Display 21MP + 5MP + 2MP | 8MP Front Camera 6000 mAh Battery Octa Core Processor 1 Year Domestic Warranty
"REDMI 10A SPORT (CHARCOAL BLACK, 128 GB)","₹13,999","₹9,840",29% off,4.1,6 GB RAM | 128 GB ROM 16.59 cm (6.53 inch) Display 13MP Rear Camera 5000 mAh Battery 12 Months Warranty
"LAVA Blaze 2 (Glass Blue, 128 GB)","₹10,999","₹8,499",22% off,4.2,6 GB RAM | 128 GB ROM 16.51 cm (6.5 inch) Display 13MP Rear Camera 5000 mAh Battery 1 Year Handset Warranty and 6 Months Warranty on Accessories
"LAVA Blaze 2 (Glass Black, 128 GB)","₹10,999","₹8,098",26% off,4.2,6 GB RAM | 128 GB ROM 16.51 cm (6.5 inch) Display 13MP Rear Camera 5000 mAh Battery 1 Year Handset Warranty and 6 Months Warranty on Accessories
"OPPO A18 (Glowing Black, 64 GB)","₹14,999","₹9,999",33% off,4.3,4 GB RAM | 64 GB ROM 16.66 cm (6.56 inch) HD+ Display 8MP + 2MP | 5MP Front Camera 5000 mAh Battery Helio G85 Processor 1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"realme C35 (Glowing Black, 64 GB)","₹13,999","₹9,999",28% off,4.4,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB 16.76 cm (6.6 inch) Full HD+ Display 50MP + 2MP + 0.3MP | 8MP Front Camera 5000 mAh Lithium Polymer Battery Unisoc Tiger T616 Processor 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"Infinix Hot 12 (Polar Black, 64 GB)","₹12,999","₹9,999",23% off,4.2,4 GB RAM | 64 GB ROM 17.32 cm (6.82 inch) HD+ Display 50 MP + 2 MP Depth Lens + AI Lens | 8MP Front Camera 6000 mAh Lithium-ion Polymer Battery Meditek Helio G37 Processor 1 Year on Handset and 6 Months on Accessories
"Infinix Hot 12 (Turquoise Cyan, 64 GB)","₹12,999","₹9,999",23% off,4.2,4 GB RAM | 64 GB ROM 17.32 cm (6.82 inch) HD+ Display 50 MP + 2 MP Depth Lens + AI Lens | 8MP Front Camera 6000 mAh Lithium-ion Polymer Battery Meditek Helio G37 Processor 1 Year on Handset and 6 Months on Accessories
"vivo Y01 (Elegant Black, 32 GB)","₹12,999","₹8,500",34% off,4.2,2 GB RAM | 32 GB ROM 16.54 cm (6.51 inch) HD+ Display 8MP Rear Camera | 5MP Front Camera 5000 mAh Lithium Battery Mediatek Helio P35 Processor 1 Year on Handset and 6 Months on Accessories
"Infinix Hot 12 (7° Purple, 64 GB)","₹12,999","₹9,999",23% off,4.2,4 GB RAM | 64 GB ROM 17.32 cm (6.82 inch) HD+ Display 50 MP + 2 MP Depth Lens + AI Lens | 8MP Front Camera 6000 mAh Lithium-ion Polymer Battery Meditek Helio G37 Processor 1 Year on Handset and 6 Months on Accessories
"POCO C31 (Royal Blue, 64 GB)","₹11,999","₹9,499",20% off,4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB 16.59 cm (6.53 inch) HD+ Display 13MP + 2MP + 2MP | 5MP Front Camera 5000 mAh Lithium-ion Polymer Battery MediaTek G35 Processor 1 Year Warranty for Handset, 6 Months for Accessories"
"LAVA Blaze 2 (Glass Orange, 128 GB)","₹10,999","₹8,499",22% off,4.2,6 GB RAM | 128 GB ROM 16.51 cm (6.5 inch) Display 13MP Rear Camera 5000 mAh Battery 1 Year Handset Warranty and 6 Months Warranty on Accessories
"SAMSUNG Galaxy M04 (Dark Blue, 128 GB)","₹13,499","₹8,299",38% off,4.1,4 GB RAM | 128 GB ROM 16.51 cm (6.5 inch) HD+ Display 13MP + 2MP 5000 mAh Battery MediaTek Helio P35 Processor 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories
"realme Narzo 50A (Oxygen Green, 64 GB)","₹12,999","₹9,998",23% off,4.4,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB 16.51 cm (6.5 inch) HD+ Display 50MP + 2MP + 2MP | 8MP Front Camera 6000 mAh Battery MediaTek Helio G85 Processor 1 Year Warranty for Mobile and 6 Months for Accessories
"POCO M3 (Power Black, 64 GB)","₹11,999","₹10,599",11% off,4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB 16.59 cm (6.53 inch) Full HD+ Display 48MP + 2MP + 2MP | 8MP Front Camera 6000 mAh Lithium-ion Polymer Battery Qualcomm Snapdragon 662 Processor Multiple Hands-free Voice Assistant One Year Warranty for Handset, 6 Months for Accessories"
"Redmi Note 7 (Onyx Black, 32 GB)","₹12,999","₹9,999",23% off,4.4,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB 16.0 cm (6.3 inch) Full HD+ Display 12MP + 2MP | 13MP Front Camera 4000 mAh Li-polymer Battery Qualcomm Snapdragon 660 AIE Processor Splash Proof - Protected by P2i Quick Charge 4.0 Support Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
"Infinix Hot 12 Pro (Electric Blue, 64 GB)","₹13,999","₹9,499",32% off,4.2,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB 16.76 cm (6.6 inch) HD+ Display 50 MP + Depth Lens | 8MP Front Camera 5000 mAh Lithium-ion Polymer Battery Unisoc T616 Processor 1 Year on Handset and 6 Months on Accessories
"Infinix Hot 12 Pro (Lightsaber Green, 64 GB)","₹13,999","₹9,499",32% off,4.2,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB 16.76 cm (6.6 inch) HD+ Display 50 MP + Depth Lens | 8MP Front Camera 5000 mAh Lithium-ion Polymer Battery Unisoc T616 Processor 1 Year on Handset and 6 Months on Accessories
"Infinix Hot 12 Pro (Halo White, 64 GB)","₹13,999","₹9,499",32% off,4.2,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB 16.76 cm (6.6 inch) HD+ Display 50 MP + Depth Lens | 8MP Front Camera 5000 mAh Lithium-ion Polymer Battery Unisoc T616 Processor 1 Year on Handset and 6 Months on Accessories
"Infinix Hot 12 Pro (Electric Blue, 64 GB)","₹13,999","₹9,499",32% off,4.2,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB 16.76 cm (6.6 inch) HD+ Display 50 MP + Depth Lens | 8MP Front Camera 5000 mAh Lithium-ion Polymer Battery Unisoc T616 Processor 1 Year on Handset and 6 Months on Accessories
"realme Narzo N53 (Feather Gold, 64 GB)","₹10,999","₹9,299",15% off,4.2,4 GB RAM | 64 GB ROM 17.12 cm (6.74 inch) Display 50MP Rear Camera 5000 mAh Battery Domestic 1 Year on Handset and 6 Months on Accessories
"vivo Y02 (Cosmic Grey, 32 GB)","₹12,999","₹8,499",34% off,4.2,3 GB RAM | 32 GB ROM 16.54 cm (6.51 inch) HD+ Display 8MP Rear Camera | 5MP Front Camera 5000 mAh Battery MediaTek P22 Processor 1 Year of Device & 6 Months for In-Box Accessories
"Infinix Hot 12 Pro (Racing Black, 64 GB)","₹13,999","₹9,499",32% off,4.2,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB 16.76 cm (6.6 inch) HD+ Display 50 MP + Depth Lens | 8MP Front Camera 5000 mAh Lithium-ion Polymer Battery Unisoc T616 Processor 1 Year on Handset and 6 Months on Accessories
"Nokia C32 (Charcoal, 128 GB)","₹10,999","₹7,899",28% off,3.7,4 GB RAM | 128 GB ROM 16.55 cm (6.517 inch) Display 50MP Rear Camera | 8MP Front Camera 5000 mAh Battery SC9863A1 Processor 1 Year Replacement Guarantee for Device and 6 Months Manufacturer Warranty for In-Box Accessories Including Battery from the Date of Purchase
"POCO M3 (Power Black, 64 GB)","₹11,999","₹10,599",11% off,4.3,"4 GB RAM | 64 GB ROM | Expandable Upto 512 GB 16.59 cm (6.53 inch) Full HD+ Display 48MP + 2MP + 2MP | 8MP Front Camera 6000 mAh Lithium-ion Polymer Battery Qualcomm Snapdragon 662 Processor Multiple Hands-free Voice Assistant One Year Warranty for Handset, 6 Months for Accessories"
"realme Narzo 50A (Oxygen Green, 64 GB)","₹12,999","₹9,998",23% off,4.4,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB 16.51 cm (6.5 inch) HD+ Display 50MP + 2MP + 2MP | 8MP Front Camera 6000 mAh Battery MediaTek Helio G85 Processor 1 Year Warranty for Mobile and 6 Months for Accessories
"Tecno Spark 10C (Magic Skin Blue, 8 GB)","₹12,499","₹8,598",31% off,4.1,128 GB RAM | 8 GB ROM | Expandable Upto 1 TB 16.76 cm (6.6 inch) HD+ Display 16MP Rear Camera | 8MP Front Camera 5000 mAh Battery Unisoc Tiger T606 Processor 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
"SAMSUNG Galaxy M04 (Dark Blue, 128 GB)","₹13,499","₹8,299",38% off,4.1,4 GB RAM | 128 GB ROM 16.51 cm (6.5 inch) HD+ Display 13MP + 2MP 5000 mAh Battery MediaTek Helio P35 Processor 1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories
"REDMI 10A (Sea Blue, 32 GB)","₹10,999","₹9,900",9% off,4.1,3 GB RAM | 32 GB ROM 16.59 cm (6.53 inch) Display 13MP Rear Camera 5000 mAh Battery 12 months
"Tecno Spark 10 (Magic Skin Orange, 128 GB)","₹13,499","₹9,270",31% off,4.3,8 GB RAM | 128 GB ROM 16.76 cm (6.6 inch) Display 50MP Rear Camera 5000 mAh Battery 1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories
"REDMI 10A (Slate grey, 64 GB)","₹11,999","₹8,349",30% off,4.2,4 GB RAM | 64 GB ROM 16.59 cm (6.53 inch) Display 13MP Rear Camera 5000 mAh Battery 1 Year Manufacturer Warranty for Handset and 6 Months Warranty for In the Box Accessories
"I Kall S1 Plus (Golden, 128 GB)","₹11,999","₹9,999",16% off,3.8,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB 17.27 cm (6.8 inch) HD+ Display 13MP + 5MP + 2MP | 8MP Front Camera 6000 mAh Battery Octa Core Processor 1 Year Domestic Warranty
"realme Narzo 30A (Laser Blue, 64 GB)","₹9,999","₹9,449",5% off,4.4,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB 16.54 cm (6.51 inch) HD+ Display 13MP + 2MP | 8MP Front Camera 6000 mAh Battery MediaTek Helio G85 Processor 1 Year Warranty for Mobile and 6 Months for Accessories
